Date,fx_JPUS,fx_USEU,fx_USUK
1971-01-04,357.73,,2.3938
1971-01-05,357.81,,2.3949
1971-01-06,357.86,,2.3967
1971-01-07,357.87,,2.3963
1971-01-08,357.82,,2.3972
1971-01-11,357.95,,2.3992
1971-01-12,358.06,,2.4001
1971-01-13,358.44,,2.4021
1971-01-14,358.4,,2.4071
1971-01-15,358.4,,2.4057
1971-01-18,358.29,,2.4052
1971-01-19,358.35,,2.4081
1971-01-20,358.4,,2.408
1971-01-21,358.27,,2.4092
1971-01-22,357.9,,2.4103
1971-01-25,357.73,,2.4147
1971-01-26,357.78,,2.416
1971-01-27,357.79,,2.4161
1971-01-28,357.83,,2.4169
1971-01-29,357.72,,2.4174
1971-02-01,357.67,,2.4184
1971-02-02,357.55,,2.4181
1971-02-03,357.54,,2.4184
1971-02-04,357.51,,2.4167
1971-02-05,357.53,,2.4147
1971-02-08,357.49,,2.4182
1971-02-09,357.5,,2.4151
1971-02-10,357.5,,2.4159
1971-02-11,357.5,,2.4158
1971-02-12,,,
1971-02-15,,,
1971-02-16,357.53,,2.4193
1971-02-17,357.53,,2.4193
1971-02-18,357.53,,2.4191
1971-02-19,357.56,,2.419
1971-02-22,357.6,,2.4192
1971-02-23,357.55,,2.4193
1971-02-24,357.6,,2.4193
1971-02-25,357.56,,2.4177
1971-02-26,357.56,,2.416
1971-03-01,357.63,,2.4162
1971-03-02,357.56,,2.4184
1971-03-03,357.49,,2.4193
1971-03-04,357.45,,2.4179
1971-03-05,357.59,,2.4183
1971-03-08,357.55,,2.4192
1971-03-09,357.46,,2.4188
1971-03-10,357.59,,2.4192
1971-03-11,357.56,,2.4188
1971-03-12,357.58,,2.4193
1971-03-15,357.54,,2.4193
1971-03-16,357.49,,2.4183
1971-03-17,357.53,,2.4194
1971-03-18,357.56,,2.419
1971-03-19,357.56,,2.419
1971-03-22,357.44,,2.4193
1971-03-23,357.53,,2.4193
1971-03-24,357.53,,2.4194
1971-03-25,357.47,,2.4185
1971-03-26,357.47,,2.4188
1971-03-29,357.44,,2.4194
1971-03-30,357.49,,2.4181
1971-03-31,357.42,,2.4168
1971-04-01,357.49,,2.4147
1971-04-02,357.53,,2.4125
1971-04-05,357.5,,2.4161
1971-04-06,357.46,,2.4189
1971-04-07,357.55,,2.417
1971-04-08,357.55,,2.4167
1971-04-09,357.5,,2.4167
1971-04-12,357.5,,2.4169
1971-04-13,357.62,,2.4167
1971-04-14,357.58,,2.418
1971-04-15,357.5,,2.4187
1971-04-16,357.54,,2.4186
1971-04-19,357.49,,2.4193
1971-04-20,357.49,,2.4193
1971-04-21,357.49,,2.4196
1971-04-22,357.49,,2.4187
1971-04-23,357.49,,2.4189
1971-04-26,357.5,,2.4188
1971-04-27,357.49,,2.419
1971-04-28,357.5,,2.4195
1971-04-29,357.41,,2.4192
1971-04-30,357.4,,2.4193
1971-05-03,357.41,,2.4189
1971-05-04,357.4,,2.4185
1971-05-05,357.4,,2.4194
1971-05-06,357.41,,2.4185
1971-05-07,357.41,,2.4188
1971-05-10,357.14,,2.4173
1971-05-11,357.44,,2.417
1971-05-12,357.53,,2.4183
1971-05-13,357.49,,2.4183
1971-05-14,357.49,,2.4186
1971-05-17,357.4,,2.4193
1971-05-18,357.44,,2.419
1971-05-19,357.4,,2.4194
1971-05-20,357.46,,2.4193
1971-05-21,357.4,,2.4194
1971-05-24,357.4,,2.4194
1971-05-25,357.4,,2.419
1971-05-26,357.44,,2.4194
1971-05-27,357.4,,2.4187
1971-05-28,357.4,,2.4178
1971-05-31,,,
1971-06-01,357.46,,2.4162
1971-06-02,357.4,,2.417
1971-06-03,357.46,,2.4188
1971-06-04,357.4,,2.419
1971-06-07,357.4,,2.4192
1971-06-08,357.4,,2.4188
1971-06-09,357.4,,2.4194
1971-06-10,357.4,,2.4193
1971-06-11,357.4,,2.4194
1971-06-14,357.4,,2.4186
1971-06-15,357.46,,2.4187
1971-06-16,357.46,,2.4193
1971-06-17,357.46,,2.4189
1971-06-18,357.4,,2.4191
1971-06-21,357.4,,2.4191
1971-06-22,357.4,,2.419
1971-06-23,357.4,,2.4195
1971-06-24,357.4,,2.4191
1971-06-25,357.4,,2.4191
1971-06-28,357.37,,2.4185
1971-06-29,357.39,,2.419
1971-06-30,357.4,,2.4196
1971-07-01,357.4,,2.419
1971-07-02,357.4,,2.419
1971-07-05,,,
1971-07-06,357.45,,2.4181
1971-07-07,357.46,,2.4187
1971-07-08,357.46,,2.4185
1971-07-09,357.4,,2.4183
1971-07-12,357.41,,2.4182
1971-07-13,357.44,,2.418
1971-07-14,357.4,,2.4187
1971-07-15,357.4,,2.4187
1971-07-16,357.4,,2.4189
1971-07-19,357.39,,2.4183
1971-07-20,357.39,,2.4182
1971-07-21,357.4,,2.4191
1971-07-22,357.37,,2.4188
1971-07-23,357.36,,2.419
1971-07-26,357.4,,2.418
1971-07-27,357.37,,2.4178
1971-07-28,357.4,,2.4185
1971-07-29,357.4,,2.4184
1971-07-30,357.39,,2.4184
1971-08-02,357.41,,2.4175
1971-08-03,357.37,,2.417
1971-08-04,357.37,,2.4193
1971-08-05,357.37,,2.4183
1971-08-06,357.37,,2.4185
1971-08-09,357.35,,2.4192
1971-08-10,357.39,,2.4187
1971-08-11,357.35,,2.4197
1971-08-12,357.4,,2.4196
1971-08-13,357.35,,2.4195
1971-08-16,,,
1971-08-17,,,
1971-08-18,,,
1971-08-19,,,
1971-08-20,,,
1971-08-23,,,2.435
1971-08-24,,,2.4447
1971-08-25,,,2.4589
1971-08-26,,,2.4723
1971-08-27,,,2.4693
1971-08-30,,,2.4677
1971-08-31,339.85,,2.4535
1971-09-01,341.01,,2.4541
1971-09-02,338.98,,2.4576
1971-09-03,340.14,,2.459
1971-09-06,,,
1971-09-07,339.79,,2.4583
1971-09-08,339.39,,2.4584
1971-09-09,339.07,,2.4587
1971-09-10,338.81,,2.4592
1971-09-13,338.98,,2.4602
1971-09-14,338.24,,2.467
1971-09-15,338.41,,2.4709
1971-09-16,337.84,,2.471
1971-09-17,337.95,,2.472
1971-09-20,337.27,,2.4743
1971-09-21,337.34,,2.4733
1971-09-22,337.44,,2.474
1971-09-23,337.27,,2.4805
1971-09-24,336.98,,2.4825
1971-09-27,336.25,,2.4803
1971-09-28,336.36,,2.4782
1971-09-29,335.57,,2.4838
1971-09-30,335.35,,2.4847
1971-10-01,333.39,,2.4892
1971-10-04,333.17,,2.4889
1971-10-05,333.14,,2.4894
1971-10-06,332.65,,2.4882
1971-10-07,332.61,,2.4894
1971-10-08,332.37,,2.4802
1971-10-11,,,
1971-10-12,330.52,,2.4895
1971-10-13,331.4,,2.4891
1971-10-14,330.85,,2.4806
1971-10-15,330.58,,2.4889
1971-10-18,329.6,,2.4894
1971-10-19,330.85,,2.4893
1971-10-20,331.07,,2.4912
1971-10-21,330.79,,2.4921
1971-10-22,330.36,,2.4927
1971-10-25,,,
1971-10-26,329.0,,2.494
1971-10-27,329.54,,2.4945
1971-10-28,329.71,,2.4938
1971-10-29,329.5,,2.4914
1971-11-01,329.45,,2.4927
1971-11-02,,,
1971-11-03,329.5,,2.493
1971-11-04,330.87,,2.4928
1971-11-05,329.16,,2.4936
1971-11-08,329.22,,2.4931
1971-11-09,329.16,,2.4926
1971-11-10,329.11,,2.4925
1971-11-11,329.11,,2.4934
1971-11-12,329.49,,2.4937
1971-11-15,328.73,,2.493
1971-11-16,328.62,,2.4929
1971-11-17,328.8,,2.4938
1971-11-18,328.68,,2.4935
1971-11-19,328.4,,2.4938
1971-11-22,328.41,,2.4937
1971-11-23,328.19,,2.4939
1971-11-24,328.04,,2.4935
1971-11-25,,,
1971-11-26,327.6,,2.4937
1971-11-29,327.06,,2.4938
1971-11-30,327.44,,2.4937
1971-12-01,327.6,,2.4939
1971-12-02,326.0,,2.493
1971-12-03,325.1,,2.4985
1971-12-06,326.53,,2.4978
1971-12-07,323.62,,2.5011
1971-12-08,323.5,,2.5079
1971-12-09,323.52,,2.5175
1971-12-10,323.1,,2.5182
1971-12-13,322.79,,2.519
1971-12-14,322.58,,2.5189
1971-12-15,321.54,,2.5192
1971-12-16,320.0,,2.5197
1971-12-17,320.36,,2.5292
1971-12-20,,,
1971-12-21,314.98,,2.5537
1971-12-22,314.96,,2.5538
1971-12-23,315.01,,2.5485
1971-12-24,315.21,,2.5477
1971-12-27,314.96,,2.5482
1971-12-28,315.01,,2.5473
1971-12-29,315.21,,2.5474
1971-12-30,315.01,,2.5536
1971-12-31,315.01,,2.552
1972-01-03,314.86,,2.552
1972-01-04,314.96,,2.5505
1972-01-05,314.86,,2.551
1972-01-06,312.01,,2.5502
1972-01-07,312.5,,2.5502
1972-01-10,312.99,,2.5498
1972-01-11,314.47,,2.549
1972-01-12,313.48,,2.5504
1972-01-13,313.97,,2.5541
1972-01-14,312.99,,2.572
1972-01-17,313.38,,2.585
1972-01-18,312.89,,2.58
1972-01-19,312.79,,2.5801
1972-01-20,312.01,,2.5815
1972-01-21,312.3,,2.5824
1972-01-24,312.21,,2.5873
1972-01-25,311.82,,2.5903
1972-01-26,311.53,,2.5894
1972-01-27,310.08,,2.5903
1972-01-28,310.46,,2.5914
1972-01-31,310.56,,2.5937
1972-02-01,310.37,,2.5998
1972-02-02,308.55,,2.6067
1972-02-03,309.12,,2.6046
1972-02-04,308.64,,2.6
1972-02-07,308.17,,2.6029
1972-02-08,307.69,,2.6037
1972-02-09,304.79,,2.605
1972-02-10,304.69,,2.6059
1972-02-11,304.69,,2.6055
1972-02-14,304.23,,2.5952
1972-02-15,304.14,,2.5937
1972-02-16,303.95,,2.6045
1972-02-17,303.95,,2.605
1972-02-18,303.49,,2.6055
1972-02-21,,,
1972-02-22,302.85,,2.605
1972-02-23,302.48,,2.6062
1972-02-24,302.11,,2.607
1972-02-25,302.48,,2.6054
1972-02-28,303.95,,2.6057
1972-02-29,303.4,,2.6059
1972-03-01,303.21,,2.6058
1972-03-02,303.03,,2.6058
1972-03-03,302.66,,2.6077
1972-03-06,302.75,,2.6112
1972-03-07,302.3,,2.6213
1972-03-08,302.02,,2.6257
1972-03-09,301.66,,2.644
1972-03-10,301.93,,2.6409
1972-03-13,302.3,,2.6387
1972-03-14,302.21,,2.629
1972-03-15,302.11,,2.621
