Date,gold
1548-01-01,3
1549-01-01,3.09
1550-01-01,3.09
1551-01-01,3.02
1552-01-01,3.02
1553-01-01,3.02
1554-01-01,3.02
1555-01-01,3.02
1556-01-01,3.02
1557-01-01,3.02
1558-01-01,3.02
1559-01-01,3.02
1560-01-01,3.02
1561-01-01,3.02
1562-01-01,3.02
1563-01-01,3.02
1564-01-01,3.02
1565-01-01,3.02
1566-01-01,3.02
1567-01-01,3.02
1568-01-01,3.02
1569-01-01,3.02
1570-01-01,3.02
1571-01-01,3.02
1572-01-01,3.02
1573-01-01,3.02
1574-01-01,3.02
1575-01-01,3.02
1576-01-01,3.02
1577-01-01,3.02
1578-01-01,3.03
1579-01-01,3.03
1580-01-01,3.03
1581-01-01,3.03
1582-01-01,3.03
1583-01-01,3.02
1584-01-01,3.02
1585-01-01,3.02
1586-01-01,3.02
1587-01-01,3.02
1588-01-01,3.02
1589-01-01,3.02
1590-01-01,3.02
1591-01-01,3.02
1592-01-01,3.02
1593-01-01,3
1594-01-01,3
1595-01-01,3
1596-01-01,3
1597-01-01,3
1598-01-01,3
1599-01-01,3
1600-01-01,3
1601-01-01,3.05
1602-01-01,3.05
1603-01-01,3.05
1604-01-01,3.38
1605-01-01,3.38
1606-01-01,3.38
1607-01-01,3.38
1608-01-01,3.38
1609-01-01,3.38
1610-01-01,3.38
1611-01-01,3.72
1612-01-01,3.72
1613-01-01,3.72
1614-01-01,3.72
1615-01-01,3.72
1616-01-01,3.72
1617-01-01,3.72
1618-01-01,3.72
1619-01-01,3.73
1620-01-01,3.73
1621-01-01,3.73
1622-01-01,3.73
1623-01-01,3.73
1624-01-01,3.73
1625-01-01,3.73
1626-01-01,3.73
1627-01-01,3.73
1628-01-01,3.73
1629-01-01,3.73
1630-01-01,3.73
1631-01-01,3.73
1632-01-01,3.73
1633-01-01,3.73
1634-01-01,3.73
1635-01-01,3.73
1636-01-01,3.73
1637-01-01,3.73
1638-01-01,3.73
1639-01-01,3.73
1640-01-01,3.73
1641-01-01,3.73
1642-01-01,3.73
1643-01-01,3.73
1644-01-01,3.73
1645-01-01,3.73
1646-01-01,3.73
1647-01-01,3.73
1648-01-01,3.73
1649-01-01,3.73
1650-01-01,3.73
1651-01-01,3.73
1652-01-01,3.73
1653-01-01,3.73
1654-01-01,3.73
1655-01-01,3.73
1656-01-01,3.73
1657-01-01,3.73
1658-01-01,3.73
1659-01-01,3.73
1660-01-01,3.73
1661-01-01,3.98
1662-01-01,3.98
1663-01-01,4.05
1664-01-01,4.05
1665-01-01,4.05
1666-01-01,4.05
1667-01-01,4.05
1668-01-01,4.05
1669-01-01,4.05
1670-01-01,4.05
1671-01-01,4.05
1672-01-01,4.05
1673-01-01,4.05
1674-01-01,4.05
1675-01-01,4.05
1676-01-01,4.05
1677-01-01,4.05
1678-01-01,4.05
1679-01-01,4.05
1680-01-01,4.05
1681-01-01,4.05
1682-01-01,4.05
1683-01-01,4.05
1684-01-01,4.05
1685-01-01,4.05
1686-01-01,4.05
1687-01-01,4.05
1688-01-01,4.05
1689-01-01,4.05
1690-01-01,4.05
1691-01-01,4.05
1692-01-01,4.05
1693-01-01,4.05
1694-01-01,4.05
1695-01-01,4.05
1696-01-01,4.45
1697-01-01,4.45
1698-01-01,4.45
1699-01-01,4.35
1700-01-01,4.35
1701-01-01,4.35
1702-01-01,4.35
1703-01-01,4.35
1704-01-01,4.35
1705-01-01,4.35
1706-01-01,4.35
1707-01-01,4.35
1708-01-01,4.35
1709-01-01,4.35
1710-01-01,4.35
1711-01-01,4.35
1712-01-01,4.35
1713-01-01,4.35
1714-01-01,4.35
1715-01-01,4.35
1716-01-01,4.35
1717-01-01,4.25
1718-01-01,4.31
1719-01-01,4.26
1720-01-01,4.31
1721-01-01,4.26
1722-01-01,4.25
1723-01-01,4.26
1724-01-01,4.25
1725-01-01,4.25
1726-01-01,4.25
1727-01-01,4.25
1728-01-01,4.28
1729-01-01,4.3
1730-01-01,4.29
1731-01-01,4.26
1732-01-01,4.26
1733-01-01,4.27
1734-01-01,4.26
1735-01-01,4.28
1736-01-01,4.26
1737-01-01,4.26
1738-01-01,4.26
1739-01-01,4.25
1740-01-01,4.25
1741-01-01,4.27
1742-01-01,4.28
1743-01-01,4.3
1744-01-01,4.31
1745-01-01,4.29
1746-01-01,4.25
1747-01-01,4.28
1748-01-01,4.26
1749-01-01,4.25
1750-01-01,4.26
1751-01-01,4.25
1752-01-01,4.26
1753-01-01,4.27
1754-01-01,4.25
1755-01-01,4.25
1756-01-01,4.25
1757-01-01,4.25
1758-01-01,4.3
1759-01-01,4.33
1760-01-01,4.3
1761-01-01,4.35
1762-01-01,4.32
1763-01-01,4.37
1764-01-01,4.26
1765-01-01,4.26
1766-01-01,4.31
1767-01-01,4.34
1768-01-01,4.32
1769-01-01,4.38
1770-01-01,4.37
1771-01-01,4.35
1772-01-01,4.35
1773-01-01,4.25
1774-01-01,4.24
1775-01-01,4.23
1776-01-01,4.23
1777-01-01,4.23
1778-01-01,4.23
1779-01-01,4.23
1780-01-01,4.23
1781-01-01,4.23
1782-01-01,4.23
1783-01-01,4.25
1784-01-01,4.25
1785-01-01,4.24
1786-01-01,4.23
1787-01-01,4.23
1788-01-01,4.23
