Date,pe_ratio
1897-12-01,15.32258064516129
1898-01-01,15.576125119693582
1898-02-01,15.37732870224187
1898-03-01,14.53125
1898-04-01,14.135477884317973
1898-05-01,14.906642179369452
1898-06-01,15.333333333333332
1898-07-01,15.241524152415243
1898-08-01,15.651915651915651
1898-09-01,15.470588235294116
1898-10-01,15.001456452082728
1898-11-01,15.344678396308048
1898-12-01,16.142857142857146
1899-01-01,16.851441241685144
1899-02-01,16.976055959106805
1899-03-01,16.73202614379085
1899-04-01,16.475972540045767
1899-05-01,15.363681345868383
1899-06-01,14.626506024096386
1899-07-01,14.74870831376233
1899-08-01,14.746965880467142
1899-09-01,14.23463687150838
1899-10-01,13.833733362426358
1899-11-01,13.768115942028984
1899-12-01,12.541666666666666
1900-01-01,12.708333333333334
1900-02-01,12.9375
1900-03-01,13.041666666666666
1900-04-01,13.208333333333334
1900-05-01,12.583333333333334
1900-06-01,12.208333333333334
1900-07-01,12.208333333333334
1900-08-01,12.375000000000002
1900-09-01,12.083333333333334
1900-10-01,12.520833333333334
1900-11-01,13.500000000000002
1900-12-01,14.3125
1901-01-01,14.677184969898278
1901-02-01,15.00103455410718
1901-03-01,15.484536082474227
1901-04-01,16.724881857407027
1901-05-01,15.830432111406923
1901-06-01,17.346938775510203
1901-07-01,16.12772015456579
1901-08-01,16.29839854044192
1901-09-01,16.161616161616163
1901-10-01,15.925105697604188
1901-11-01,16.215131446919525
1901-12-01,15.9
1902-01-01,15.896632732967891
1902-02-01,15.698677400805058
1902-03-01,15.39906103286385
1902-04-01,15.608319528805449
1902-05-01,15.26524720317575
1902-06-01,14.884955752212392
1902-07-01,14.935741576936437
1902-08-01,15.050281234020794
1902-09-01,14.811715481171547
1902-10-01,14.088443202367255
1902-11-01,13.30749354005168
1902-12-01,12.777777777777779
1903-01-01,13.60784944506997
1903-02-01,13.712701777270505
1903-03-01,13.355371900826446
1903-04-01,12.988101223395342
1903-05-01,12.918578956314803
1903-06-01,12.379310344827587
1903-07-01,11.981808640895574
1903-08-01,11.769927214628083
1903-09-01,11.657657657657657
1903-10-01,11.45052130967624
1903-11-01,11.666357049972135
1903-12-01,12.39622641509434
1904-01-01,12.682741598633
1904-02-01,12.421173323141602
1904-03-01,12.461538461538462
1904-04-01,12.850783820398682
1904-05-01,12.663159945451003
1904-06-01,12.76470588235294
1904-07-01,13.380698638247484
1904-08-01,13.928074706934234
1904-09-01,14.64
1904-10-01,15.602979665794242
1904-11-01,16.561929860125684
1904-12-01,16.836734693877553
1905-01-01,16.693069306930692
1905-02-01,16.923076923076923
1905-03-01,16.91588785046729
1905-04-01,16.254545454545454
1905-05-01,15.04424778761062
1905-06-01,14.827586206896552
1905-07-01,14.907563025210083
1905-08-01,15.081967213114753
1905-09-01,14.768
1905-10-01,14.624999999999998
1905-11-01,14.213740458015268
1905-12-01,14.23880597014925
1906-01-01,14.568265682656826
1906-02-01,14.306569343065693
1906-03-01,13.80505415162455
1906-04-01,13.471428571428572
1906-05-01,12.975265017667844
1906-06-01,13.006993006993008
1906-07-01,12.539792387543253
1906-08-01,13.328767123287673
1906-09-01,13.599999999999998
1906-10-01,13.060402684563758
1906-11-01,13.196013289036545
1906-12-01,12.947368421052632
1907-01-01,12.717839563655714
1907-02-01,12.457957755953181
1907-03-01,11.360544217687075
1907-04-01,11.545341956790974
1907-05-01,11.276625365446192
1907-06-01,11.04225352112676
1907-07-01,11.600399030924898
1907-08-01,10.861099091302467
1907-09-01,10.875912408759124
1907-10-01,9.812324516033692
1907-11-01,9.352087385904534
1907-12-01,9.954545454545455
1908-01-01,10.48522883820603
1908-02-01,10.20565950208752
1908-03-01,10.734375
1908-04-01,11.432180641086374
1908-05-01,12.174884314664112
1908-06-01,12.32258064516129
1908-07-01,12.913745312245231
1908-08-01,13.614636558430854
1908-09-01,13.616666666666667
1908-10-01,13.938985336254843
1908-11-01,15.050281234020794
1908-12-01,15.568965517241379
1909-01-01,15.226890756302522
1909-02-01,14.426229508196723
1909-03-01,14.272
1909-04-01,14.5625
1909-05-01,14.702290076335878
1909-06-01,14.626865671641792
1909-07-01,14.510948905109487
1909-08-01,14.542857142857143
1909-09-01,14.251748251748252
1909-10-01,14.013698630136988
1909-11-01,13.664429530201343
1909-12-01,13.55263157894737
1910-01-01,13.306930693069308
1910-02-01,12.874172185430464
1910-03-01,13.235880398671098
1910-04-01,12.96
1910-05-01,12.789297658862877
1910-06-01,12.21476510067114
1910-07-01,11.636363636363637
1910-08-01,11.95945945945946
1910-09-01,12.081355932203389
1910-10-01,12.680272108843537
1910-11-01,12.709897610921502
1910-12-01,12.397260273972604
1911-01-01,12.905471251566196
1911-02-01,13.343710202348946
1911-03-01,13.410071942446045
1911-04-01,13.581150300014633
1911-05-01,14.1134435015632
1911-06-01,14.65151515151515
1911-07-01,14.854234150856087
1911-08-01,14.402387309564944
1911-09-01,13.872
1911-10-01,14.218164030653842
1911-11-01,15.073957121489114
1911-12-01,15.440677966101696
1912-01-01,15.220293724966622
1912-02-01,14.861088278809797
1912-03-01,15.06072874493927
1912-04-01,15.30237753310994
1912-05-01,15.067631330607108
1912-06-01,14.852713178294573
1912-07-01,14.659125649648425
1912-08-01,14.789687924016283
1912-09-01,14.661710037174721
1912-10-01,14.43450198034326
1912-11-01,14.0851187029531
1912-12-01,13.400000000000002
1913-01-01,13.396715643906655
1913-02-01,13.03210809240157
1913-03-01,12.893772893772894
